HOME	Episode Date	Episode Type	Episode Title	Episode Topic	Episode Topic	Section 1	Section 2	Section 3	Section 4	Conclusion	Status	Optimized Title	Optimized Description	Optimized Script	Optimized Tags
1	07/10/2024	Main Podcast	CPTSD 101: Making Sense of Trauma and Healing	Introduction to 'CPTSD: Let’s Make Sense of This Shit' – What You Need to Know	Chat about what CPTSD is and why the podcast is important	Introduce the concept of CPTSD	Mention the common misconceptions and symptoms	Explore different perspectives on CPTSD or provide an expert interview	Discuss long - term resources or share books/podcasts recommendations	Encourage listeners to stay tuned for future episodes. Next up on Friday: Grounding Technique: Body Scan Meditation	PUBLISHED				
2	11/10/2024	Friday Healing	Grounded: Body Scan Meditation for Immediate Calm	Grounding Technique: Body Scan Meditation	Brief chat about the importance of grounding techniques	Explain the body scan meditation technique	Guide through a short body scan meditation session			Encourage listeners to practice and return next week. Next main episode: Understanding CPTSD: What Makes It Different from PTSD?	PUBLISHED				
3	14/10/2024	Main Podcast	CPTSD vs PTSD: What You Need to Know for Recovery	Understanding CPTSD: What Makes It Different from PTSD?	Introduction to the differences between CPTSD and PTSD	Explain the key differences	Discuss examples of CPTSD triggers	Discuss benefits of practicing grounding regularly	Suggest apps or tools to aid in grounding practice	Encourage listeners to stay tuned for future episodes. Next up on Friday: Breathing Exercises for Immediate Calm	PUBLISHED				
4	18/10/2024	Friday Healing	Breathe Easy: Simple Breathing Exercises to Manage Stress	Breathing Exercises for Immediate Calm	Talk about breathing and stress	Explain why breathing exercises work for CPTSD	Walk through a basic breathing exercise			Encourage listeners to practice and return next week. Next main episode: How Trauma Affects the Brain: A Breakdown	PUBLISHED				
5	21/10/2024	Main Podcast	How Trauma Changes Your Brain and How to Heal	How Trauma Affects the Brain: A Breakdown	Discuss how trauma impacts the brain	The neuroscience of trauma and memory	Impact of long - term trauma	Dive deeper into the misconceptions of CPTSD and recovery	Highlight research or studies on CPTSD and recovery	Encourage listeners to stay tuned for future episodes. Next up on Friday: Safe Spaces: Creating Emotional and Physical Safety	PUBLISHED				
6	25/10/2024	Friday Healing	Creating Safe Spaces: Emotional and Physical Grounding Tips	Safe Spaces: Creating Emotional and Physical Safety	Discuss the need for safety in recovery	Physical safety	Emotional safety			Encourage listeners to practice and return next week. Next main episode: Trigger Warnings: What Are They and How to Handle Them	PUBLISHED				
7	28/10/2024	Main Podcast	Triggers and How to Control Them: A Survival Guide	Trigger Warnings: What Are They and How to Handle Them	Chat about triggers	What are triggers?	How to prepare for triggering situations	Explain how breathwork fits into long - term healing strategies	Mention complementary therapies or alternative practices	Encourage listeners to stay tuned for future episodes. Next up on Friday: Grounding Technique: 5 - 4 - 3 - 2 - 1 Method	PUBLISHED				
8	13/11/2024	Friday Healing	Stay Present: Mastering the 5 4 3 2 1 Grounding Technique	Grounding Technique: 5-4-3-2-1 Method	Discuss grounding and mindfulness	Introduce the 5 - 4 - 3 - 2 - 1 technique	Walk through the exercise and then discuss why we keep coming back to the 5 - 4 - 3 - 2 - 1 method 	discuss the science behind 5 - 4 - 3 - 2 - 1		Encourage listeners to practice and return next week. Next main episode: Managing CPTSD in Social Situations	PUBLISHED				
9	14/11/2024	Main Podcast	Social Anxiety and CPTSD: Navigating Relationships After Trauma	Managing CPTSD in Social Situations	Social anxiety and CPTSD	How CPTSD impacts social life	Tools to manage social situations	Discuss personal stories or listener feedback about trauma impacts	Discuss upcoming trends in trauma recovery research	Encourage listeners to stay tuned for future episodes. Next up on Friday: Using Music as a Grounding Tool	PUBLISHED				
10	15/11/2024	Friday Healing	The Healing Power of Music: A Grounding Playlist	Using Music as a Grounding Tool	Music as a healing tool	Benefits of music for emotional regulation	How to create a personal playlist			Encourage listeners to practice and return next week. Next main episode: Reclaiming Your Identity After Trauma	PUBLISHED				
11	16/11/2024	Main Podcast	Reclaiming Your Identity After Trauma: A Step by Step Guide	Reclaiming Your Identity After Trauma	Chat about reclaiming identity post - trauma	Why trauma can fracture self - identity	Steps to rebuilding and reclaiming identity	Share tips on creating safety in daily routines	Offer links to online communities or support groups	Encourage listeners to stay tuned for future episodes. Next up on Friday: Guided Visualization for Safety	PUBLISHED				
12	17/11/2024	Friday Healing	Guided Visualization for Safe Spaces: Instant Calm	Guided Visualization for Safety	Visualization techniques and safety	Benefits of visualization for CPTSD	Guide through a short safe - space visualization			Encourage listeners to practice and return next week. Next main episode: Surviving the Holidays with CPTSD	PUBLISHED				
